timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-02-11,192.8800,193.3200,191.0700,191.3300,191.3300,2056484,0.0000,1.0000
2019-02-08,191.7200,192.6200,188.2158,191.6700,191.6700,2757596,0.0000,1.0000
2019-02-07,195.2800,195.8800,191.0500,193.0700,193.0700,2948750,0.0000,1.0000
2019-02-06,197.1800,199.0600,195.8300,196.6200,196.6200,2063097,0.0000,1.0000
2019-02-05,198.1200,199.3250,196.8600,198.0100,198.0100,2601036,0.0000,1.0000
2019-02-04,195.8000,197.7600,194.7860,197.7200,197.7200,2400169,0.0000,1.0000
2019-02-01,198.0000,199.6400,196.5400,196.5400,196.5400,3174301,0.0000,1.0000
2019-01-31,200.1000,202.3500,196.9500,198.0100,198.0100,5604546,0.0000,1.0000
2019-01-30,200.9000,203.2900,199.6500,202.4800,202.4800,2773366,0.0000,1.0000
2019-01-29,199.0000,201.9700,197.8700,200.5000,200.5000,2694125,0.0000,1.0000
2019-01-28,197.9900,200.0700,197.1000,199.7200,199.7200,2369554,0.0000,1.0000
2019-01-25,199.8300,201.1900,199.4200,200.7400,200.7400,3275461,0.0000,1.0000
2019-01-24,196.2200,199.6800,195.7600,197.8000,197.8000,2632011,0.0000,1.0000
2019-01-23,197.5500,198.0900,194.5300,196.9000,196.9000,3410681,0.0000,1.0000
2019-01-22,200.5000,201.4700,195.9200,197.6800,197.6800,4648472,0.0000,1.0000
2019-01-18,200.3800,203.0000,196.9100,202.5400,202.5400,5650934,0.0000,1.0000
2019-01-17,195.9500,199.8000,192.8300,199.0900,199.0900,8176998,0.0000,1.0000
2019-01-16,187.0000,198.1500,185.6000,197.0800,197.0800,15194227,0.0000,1.0000
2019-01-15,178.3200,179.9900,176.4000,179.9100,179.9100,2911802,0.0000,1.0000
2019-01-14,174.5200,179.5400,174.1000,178.7200,178.7200,3361688,0.0000,1.0000
2019-01-11,175.1000,177.0400,172.4200,176.9300,176.9300,3183036,0.0000,1.0000
2019-01-10,175.6600,178.0700,175.5000,176.0000,176.0000,2808732,0.0000,1.0000
2019-01-09,176.1000,177.6900,174.9100,176.4700,176.4700,3321697,0.0000,1.0000
2019-01-08,177.7800,178.0999,172.9000,175.3700,175.3700,2692684,0.0000,1.0000
2019-01-07,175.2300,177.8250,172.2700,176.0200,176.0200,3152092,0.0000,1.0000
2019-01-04,172.9900,176.0000,171.1000,175.0500,175.0500,3788312,0.0000,1.0000
2019-01-03,170.6600,171.7700,168.2900,169.5100,169.5100,4060393,0.0000,1.0000
2019-01-02,164.3300,172.2500,163.3500,172.0300,172.0300,3999444,0.0000,1.0000
2018-12-31,163.7800,167.1200,163.7800,167.0500,167.0500,4550009,0.0000,1.0000
2018-12-28,165.6400,165.9500,162.0200,163.0300,163.0300,4110520,0.0000,1.0000
2018-12-27,160.1200,165.4100,159.0200,165.4100,165.4100,4972964,0.0000,1.0000
2018-12-26,157.0000,163.1100,151.7000,162.9300,162.9300,7054656,0.0000,1.0000
2018-12-24,159.0000,160.0000,154.3100,156.3500,156.3500,3783497,0.0000,1.0000
2018-12-21,168.2500,169.6300,159.4200,160.0500,160.0500,8960030,0.0000,1.0000
2018-12-20,168.3900,171.6500,167.1600,168.4100,168.4100,6488177,0.0000,1.0000
2018-12-19,171.5900,174.8500,167.6000,169.2500,169.2500,5316095,0.0000,1.0000
2018-12-18,169.7800,173.0200,169.3200,171.5000,171.5000,5150789,0.0000,1.0000
2018-12-17,169.4000,171.4300,166.5300,168.0100,168.0100,8395805,0.0000,1.0000
2018-12-14,174.3400,176.2600,172.3700,172.7700,172.7700,5078341,0.0000,1.0000
2018-12-13,177.8300,178.6900,175.1200,175.9200,175.9200,4008550,0.0000,1.0000
2018-12-12,178.5000,180.0000,176.4800,176.7000,176.7000,3677292,0.0000,1.0000
2018-12-11,182.1500,184.4300,175.4500,176.8000,176.8000,4713871,0.0000,1.0000
2018-12-10,178.6000,179.8400,174.6800,178.8300,178.8300,4528341,0.0000,1.0000
2018-12-07,183.8500,186.2500,179.0000,179.6700,179.6700,3921232,0.0000,1.0000
2018-12-06,181.3300,184.8800,180.1500,184.0900,184.0900,5275511,0.0000,1.0000
2018-12-04,190.6900,191.1100,183.6300,184.3100,184.3100,5797535,0.0000,1.0000
2018-12-03,194.0000,195.6600,191.6200,191.6300,191.6300,4015619,0.0000,1.0000
2018-11-30,190.5700,191.4500,188.1200,190.6900,190.6900,6219958,0.0000,1.0000
2018-11-29,196.0200,197.4500,193.1600,194.8500,194.8500,2666117,0.8000,1.0000
2018-11-28,194.8400,198.4500,192.2300,198.3500,197.5390,3762873,0.0000,1.0000
2018-11-27,193.4000,194.6200,191.5640,193.6500,192.8582,2345380,0.0000,1.0000
2018-11-26,191.1700,195.2300,190.6900,194.3400,193.5454,3143267,0.0000,1.0000
2018-11-23,191.6100,191.8700,188.9400,189.1000,188.3268,1862633,0.0000,1.0000
2018-11-21,192.0900,195.2400,191.1900,192.6000,191.8125,4111653,0.0000,1.0000
2018-11-20,195.1000,195.8900,190.3450,191.3400,190.5576,5513841,0.0000,1.0000
2018-11-19,201.8300,202.3000,197.3500,198.2200,197.4095,3419116,0.0000,1.0000
2018-11-16,202.9300,204.7442,200.3500,202.1200,201.2935,2829572,0.0000,1.0000
2018-11-15,201.8000,204.5000,199.3200,203.7400,202.9069,4260001,0.0000,1.0000
2018-11-14,206.2400,207.3400,198.4400,202.4900,201.6620,5742451,0.0000,1.0000
2018-11-13,204.4000,209.5858,202.3300,205.0500,204.2116,6984798,0.0000,1.0000
2018-11-12,222.0000,222.3100,205.1300,206.0500,205.2075,11019357,0.0000,1.0000
2018-11-09,231.6900,231.6900,222.3000,222.6500,221.7396,3721716,0.0000,1.0000
2018-11-08,231.0000,234.0600,230.6000,231.6500,230.7028,2404854,0.0000,1.0000
2018-11-07,230.0500,232.7958,226.9025,231.2800,230.3343,3514619,0.0000,1.0000
2018-11-06,228.1900,229.5200,227.0500,228.2000,227.2669,2275807,0.0000,1.0000
2018-11-05,228.3200,231.0950,226.9500,228.7200,227.7848,2565374,0.0000,1.0000
2018-11-02,230.0000,231.6900,226.2900,229.6900,228.7508,3698981,0.0000,1.0000
2018-11-01,225.7600,228.8800,225.4700,226.9700,226.0419,2557550,0.0000,1.0000
2018-10-31,221.8900,229.0000,221.4000,225.3700,224.4485,4369633,0.0000,1.0000
2018-10-30,215.9900,220.3500,215.0400,219.2800,218.3834,3897378,0.0000,1.0000
